Age Group,Proportion,Number of Gamers
Under 18s,0.2,618 million
18-34 years,0.38,1.17 billion
35-44 years,0.14,433 million
45-54 years,0.12,371 million
55-64 years,0.09,278 million
65+ years,0.07,216 million
